# Chinese translations of the journal auto-notes.
# Missing entries fall back to the English text in autonotes.txt.
# [npc=...] names are the game's English names; they double as a search key.

0x5: 我现在可以驾船出海了。
0x6: 装备已经交换完毕。
0xB: 我向安德拉尔问过关于福恩城的事。[npc=Andral]
0xC: 我向安德拉尔问过关于旅馆的事。[npc=Andral]
0xE: 我因偷窃而被叫来了卫兵。

# Former Companions with Equipment
0xF: 斯特凡诺保存着原伙伴的行装。[npc=Stefano]
0x10: 格温诺保存着原伙伴的行装。[npc=Gwenno]
0x11: 塞琳娜保存着原伙伴的行装。[npc=Selina]
0x13: 博伊登保存着原伙伴的行装。[npc=Boydon]
0x15: 佩特拉保存着原伙伴的行装。[npc=Petra]
0x16: 威尔弗雷德保存着原伙伴的行装。[npc=Wilfred]
0x17: 杜普雷保存着原伙伴的行装。[npc=Dupre]
0x18: 沙米诺保存着原伙伴的行装。[npc=Shamino]
0x19: 伊欧洛保存着原伙伴的行装。[npc=Iolo]

#Copy Protection
0x1A: 我问过关于第九环魔法的事。
0x1B: 我问过关于护甲材料的事。
0x1C: 我问过关于野兽的事。
0x1D: 我问过关于魔法药草的事。
0x1E: 我问过关于大规模杀伤魔法的事。
0x1F: 我问过关于人参的事。
0x20: 我问过关于制造自动机械的事。
0x21: 我问过写作此书的原因。
0x22: 我问过蛇人文字的事。
0x23: 我问过其他地标的事。
0x24: 我问过城市建立的事。
0x25: 我问过平衡法则的事。
0x26: 我问过监视者城各氏族的事。
0x27: 我问过武器种类的事。
0x28: 我问过咒语真言的事。
0x2A: 我正在使用远视魔法。

# Monitor
0x2C: 我得到了监视者之盔。
0x2D: 我告诉马斯滕我效忠于不列颠王。[npc=Marsten]
0x2F: 马斯滕领主准许我进城。[npc=Marsten]
0x32: 我与马斯滕进行了首次交谈。[npc=Marsten]
0x33: 我可以询问关于骑士测试的事。[npc=Marsten]
0x35: 我可以询问莉迪亚关于毒药的事。[npc=Lydia]
0x36: 我可以指控马斯滕。[npc=Marsten]
0x38: 我证明了马斯滕是叛徒。[npc=Marsten]
0x3B: 我知道了测试的秘密。
