npc_name,gender,age,accent,descriptives,use_cases,confidence,reasoning
Abraham,male,middle_aged,british,intense|rough|serious,characters_animation,medium,"Abraham is a fanatical Fellowship founder who shouts violent threats, suggesting an intense, rough, aggressive male voice."
Addom,male,middle_aged,british,confident|casual|pleasant,characters_animation,high,"A seasoned, world-travelled merchant — hardened but friendly, confident storyteller with a pleasant, adventurous charm."
Adjhar,neutral,old,british,deep|gentle|calm,characters_animation,medium,"A sentient stone golem speaking haltingly with pauses warrants a deep, calm, gentle voice evoking artificial yet emotional speech."
Aimi,female,middle_aged,british,calm|gentle|soft,characters_animation,high,"Aimi is a serene abbey monk who tends gardens and speaks with quiet, gracious warmth befitting a contemplative religious life."
Alagner,male,middle_aged,british,wise|serious|formal,characters_animation,high,"Alagner is a learned scholar-inventor who speaks in formal, archaic tones with intellectual intensity and dry wit."
Alina,female,young,british,sad|anxious|soft,characters_animation,high,"Alina is a desperate, grieving young mother in poverty, her archaic speech and emotional distress calling for a soft, anxious, sorrowful tone."
Amanda,female,young,british,intense|serious|sad,characters_animation,high,"Armored warrior driven by grief and vengeance, emotionally volatile yet formal in speech, seeking purpose after loss."
Amber,female,young,british,confident|upbeat|sassy,characters_animation,high,"Amber is a lively, opinionated young actress with playful wit and bold romantic energy, suggesting a confident, sassy British voice."
Andrew,male,young,british,pleasant|casual|upbeat,characters_animation,high,"Described as cheerful and handsome young man who gives friendly waves; dialog is warm, gossipy, and approachable."
Anmanivas,male,middle_aged,british,intense|grumpy|rough,characters_animation,high,"Anmanivas is an aggressive, bitter gargoyle whose dialog and descriptions consistently convey hostility, anger, and forceful confrontation."
Ansikart,male,middle_aged,standard,calm|wise|gentle,characters_animation,high,"Ansikart is described as having a calm air, showing tolerance and wisdom as a community leader despite surrounding tensions."
Anton,male,young,british,anxious|formal|intense,characters_animation,high,"Young scholar apprentice, imprisoned and fearful, speaks in formal verbose bursts with nervous indignation and dramatic flair."
Apollonia,female,middle_aged,british,pleasant|sassy|confident,characters_animation,high,"Flirtatious, warm innkeeper in her mid-thirties; playful and welcoming tone suits a sassy, pleasant, confident British voice."
Arcadion,male,old,british,intense|raspy|deep,characters_animation,high,"Arcadion is a scheming, ancient daemon—his theatrical manipulation and shadowy presence call for a deep, intense, raspy voice."
Aurvidlem,male,middle_aged,british,grumpy|serious|deep,characters_animation,high,"Aurvidlem is a sour, resentful gargoyle provisioner who speaks in clipped formal constructions and displays visible disdain, warranting a deep, grumpy, serious tone."
Auston,male,middle_aged,british,serious|anxious|formal,characters_animation,high,"Middle-aged worried mayor with furrowed brow, speaks formally about civic tensions with constant underlying anxiety."
Avatar,neutral,middle_aged,standard,neutral|calm|serious,characters_animation|narrative_story,medium,"The Avatar is a player-driven protagonist with largely third-person narrative dialog, requiring a neutral, calm narrator-style voice."
Balayna,female,middle_aged,british,professional|formal|calm,characters_animation,high,"Balayna is a precise, bureaucratic Fellowship clerk who speaks in measured, formal language with a slightly prim, officious tone."
Batlin,male,middle_aged,received pronunciation,confident|formal|intense,characters_animation,high,"Batlin is a charismatic, manipulative cult leader who speaks with polished authority and barely concealed menace, demanding a refined, commanding delivery."
Battles,male,middle_aged,british,rough|grumpy|casual,characters_animation,high,"Battles is a shifty, rough-edged ruffian bodyguard with crude dialect and a streetwise, thuggish demeanor befitting Buccaneer's Den."
Ben,male,middle_aged,british,rough|calm|gentle,characters_animation,high,Working-class logger with dropped H's and humble old-fashioned speech patterns suits a rough yet gentle British regional voice.
Bennie,male,old,british,gentle|formal|pleasant,characters_animation,high,"Elderly, warm-humored head butler with formal, gracious speech befitting a long-serving senior castle servant."
Betra,neutral,middle_aged,standard,calm|formal|serious,characters_animation,high,"Gargoyle speech pattern is distinctly ritualistic and formal with infinitive constructions; calm, measured, and culturally proud but world-weary tone."
Beverlea,female,old,british,grumpy|casual|sassy,characters_animation,high,"Elderly shopkeeper with dry wit, sarcasm, and feisty charm selling second-hand oddities in a rural village."
Blacktooth,male,old,british,grumpy|rough|raspy,characters_animation,high,"Retired pirate with menacing, gruff demeanor, dramatic mood swings, and classic salty sea-dog personality suits a rough, raspy British voice."
Blorn,male,middle_aged,british,grumpy|rough|intense,characters_animation,high,"Blorn is a bitter, xenophobic man prone to outbursts and insults, demanding a gruff, rough-edged British delivery."
Bollux,male,old,british,deep|serious|formal,characters_animation,high,"Stone golem guardian with solemn, archaic speech patterns suits a deep, formal, serious British voice."
Boots,female,middle_aged,british,pleasant|gentle|soft,characters_animation,high,"Boots is a cheerful, flustered castle cook — warm and matronly, with classic Britannian politeness and mild anxiety about her duties."
Boris,male,middle_aged,british,pleasant|casual|calm,characters_animation|conversational,high,"Friendly innkeeper and tavern owner who is hospitable, chatty about townsfolk, and mildly stressed over personal matters."
Bradman,male,middle_aged,british,confident|calm|upbeat,characters_animation,medium,"Proud, nature-loving archer trainer who speaks with calm confidence and genuine enthusiasm about the forest and his craft."
Brion,male,middle_aged,british,wise|calm|professional,characters_animation,high,"Brion is a scholarly observatory administrator, speaking with measured, knowledgeable enthusiasm about astronomy, fitting a calm, wise, refined British tone."
Brita,female,middle_aged,british,grumpy|intense|serious,characters_animation,high,"Brita is a defensive, judgmental Fellowship wife who becomes sharp and indignant when her family is questioned, suggesting an intense, serious tone."
Brownie,male,middle_aged,british,pleasant|calm|casual,characters_animation,high,"Brownie is a cheerful, hardworking farmer with a good-natured, unassuming disposition despite political setbacks."
Budo,male,middle_aged,british,confident|casual|sassy,characters_animation|conversational,high,"Budo is a self-important, jovial pirate-isle merchant with a salesman's bravado and proud family legacy, fitting a confident, casually sassy British tone."
Burnside,male,middle_aged,british,anxious|formal|grumpy,characters_animation,high,"Burnside is a flustered, politically cautious mayor who speaks formally but nervously, prone to dozing off and self-serving deflection."
Cador,male,middle_aged,british,serious|grumpy|confident,characters_animation,high,"Broad-shouldered, solemn overseer with clear anti-gargoyle bias and authoritative demeanor suggests a serious, gruff middle-aged British male."
Caine,male,middle_aged,british,intense|sad|raspy,characters_animation,high,"Guilt-wracked ghost alchemist oscillating between sardonic wit and anguished torment needs an intense, sad, haunted male voice."
Cairbre,male,middle_aged,british,confident|casual|relaxed,characters_animation,high,Seasoned mercenary fighter who speaks plainly and loyally; confident but relaxed with occasional awkward humor suits a gruff-but-friendly sell-sword.
Camille,female,middle_aged,british,gentle|sad|calm,characters_animation,high,"Widowed rural farmer, worn by toil and poverty, speaks with quiet dignity and gentle melancholy about hardship and her troubled son."
Candice,female,young,british,pleasant|upbeat|anxious,characters_animation,high,"Candice is an enthusiastic, eager-to-please museum curator with nervous Fellowship devotion, bright and welcoming but clearly hiding guilt."
Carlyn,female,middle_aged,british,pleasant|gentle|professional,characters_animation,high,"Carlyn is a warm, passionate clothier who speaks politely and enthusiastically about her craft, suggesting a pleasant and gentle British tone."
Caroline,female,young,british,upbeat|pleasant|excited,characters_animation,high,"Caroline is an enthusiastic, eager Fellowship recruiter whose dialog shows bubbly, excitable energy and warm social charm."
Carrocio,male,middle_aged,british,upbeat|excited|confident,characters_animation,high,"Flamboyant, theatrical children's entertainer who speaks in rhyming verse with cheerful, showman energy."
Catherine,female,young,british,soft|gentle|sad,characters_animation,high,"Young girl with polite, formal speech who shifts from cheerful wonder to tearful grief over her father's actions."
Chad,male,middle_aged,british,confident|casual|pleasant,characters_animation,medium,"Chad is a jovial, winking combat trainer who balances professional instruction with a relaxed, sociable tavern-goer personality."
Chantu,male,middle_aged,british,calm|gentle|professional,characters_animation,high,"Chantu is a composed, respectful healer whose formal, empathetic dialog suits a calm, gentle, professionally-toned British voice."
Charles,male,young,british,anxious|casual|gentle,characters_animation,high,"Young castle valet, emotionally reactive and lovelorn, with a proper but flustered British servant demeanor."
Chuckles,male,middle_aged,british,sassy|upbeat|casual,characters_animation,high,"Chuckles is a long-lived royal jester known for irritating jovial mannerisms, riddling clues, and playful deflection, fitting a sassy, upbeat British fool."
Clint,male,old,british,grumpy|rough|confident,characters_animation,high,"Weathered old sailor-turned-shipwright with a blunt, no-nonsense demeanor and a face hardened by years at sea."
Constance,female,young,british,gentle|pleasant|soft,characters_animation,medium,"Constance is a sheltered, romantically naive young island woman with a warm, gentle nature easily swayed by flattery."
Coop,male,young,british,upbeat|casual|confident,characters_animation,high,"Coop is an enthusiastic young shopkeeper and performer — eager, energetic, and proud of his dual role as merchant and musician."
Cosmo,male,young,british,anxious|gentle|soft,characters_animation,high,"Young naive warrior, stammering and wide-eyed, lovesick and earnest, clearly calls for a soft, anxious, gentle youthful voice."
Csil,male,middle_aged,british,calm|gentle|professional,characters_animation,high,"Established, modest Britain healer with measured, caring speech patterns and formal but warm bedside manner."
Cubolt,male,middle_aged,british,grumpy|serious|calm,characters_animation,high,"Cubolt is a weary, unhappy farmer with a worried, serious demeanor, clearly troubled by his brother's Fellowship involvement."
Cynthia,female,middle_aged,british,professional|calm|formal,characters_animation,high,"Cynthia is a formal government mint teller who speaks in precise, bureaucratic language about taxation and monetary exchange."
D Rel,male,middle_aged,british,grumpy|rough|raspy,characters_animation,high,"Bitter imprisoned pirate from Buccaneer's Den with rough dialect, scowling demeanor, and resentful attitude toward authority."
Danag,male,middle_aged,british,formal|confident|calm,characters_animation,medium,"Fellowship interim leader speaks in polished, formal cadence with measured confidence, deflecting suspicion through composed, bureaucratic phrasing."
Daphne,female,middle_aged,british,grumpy|rough|casual,characters_animation,high,"Daphne is a hardworking, weary barmaid with sharp, sarcastic wit and clear frustration — grumpy and rough-edged."
Dark Core,male,old,british,sassy|deep|intense,characters_animation,high,"Arcadion is a sardonic daemon bound in a sword, requiring a deep, darkly humorous, imperiously sarcastic voice with sinister charm."
De Maria,male,middle_aged,british,excited|pleasant|soft,characters_animation,medium,"De Maria is a theatrical romantic bard who speaks in flowery poetic declarations, suiting an expressive, pleasant, emotionally animated voice."
De Snel,male,middle_aged,british,confident|intense|formal,characters_animation,high,"De Snel is a ruthless, arrogant master assassin-turned-trainer who speaks with cold superiority and formal disdain, demanding an intense, confident delivery."
Dell,male,middle_aged,british,grumpy|rough|serious,characters_animation,high,"Dell is a surly, Fellowship-loyal shopkeeper who is openly rude and dismissive, demanding a gruff, irritable delivery."
Denby,male,middle_aged,british,serious|confident|intense,characters_animation,high,"Denby is a disciplined fighter-trainer with intense eyes, a serious disposition, and formal measured speech patterns."
Denton,male,young,british,pleasant|calm|formal,characters_animation,medium,"Denton is a courteous, deferential young tavern-keeper in a knightly fortress, speaking formally and respectfully to knights and guests."
Diane,female,middle_aged,british,pleasant|confident|calm,characters_animation|conversational,high,"Diane is a sociable, knowledgeable stablekeeper who speaks warmly and confidently with refined Britannian poise."
Dracothraxus,female,old,british,deep|wise|intense,characters_animation,high,"Ancient immortal dragon who speaks with regal, archaic gravitas—deep, wise, and formidably intense, revealed female by dialog."
Draxinusom,male,old,british,wise|gentle|formal,characters_animation,high,"Aged, regal gargoyle leader with dignified formal speech patterns and a gentle, melancholic bearing suits wise, formal, gentle delivery."
Dupre,male,middle_aged,british,confident|calm|pleasant,characters_animation,high,"Dupre is a seasoned paladin companion — noble, warm-hearted, and wryly humorous, fitting a confident, calm British delivery."
Dustin,male,middle_aged,british,intense|formal|serious,characters_animation,medium,"Mid-forties theatrical actor performing a Passion Play; his lines are dramatic and archaic, suiting an intense, formal British delivery."
Effrem,male,middle_aged,british,grumpy|casual|sassy,characters_animation,high,"Effrem is a sour, disgruntled stay-at-home father who complains bitterly and sarcastically throughout all his dialog lines."
Eiko,female,young,japanese,intense|confident|serious,characters_animation,high,"Described as 'oriental' with a Japanese name, driven by fierce vengeance, youthful but deadly serious in all dialog."
Elad,male,middle_aged,british,calm|gentle|soft,characters_animation,medium,"A weary, reflective healer longing for change but rooted in community; speaks thoughtfully and kindly with no strong quirks."
Eldroth,male,middle_aged,british,confident|casual|upbeat,characters_animation,high,"Eldroth is a bumbling, self-important provisioner whose mangled proverbs and cheerful pomposity call for a confident, casually upbeat delivery."
Elizabeth,female,middle_aged,british,intense|serious|confident,characters_animation,high,"Fanatical Fellowship founder screaming death threats at the climax demands an intense, fierce, British-accented delivery."
Ellen,female,middle_aged,british,pleasant|calm|gentle,characters_animation,medium,"Ellen is a welcoming, devoted Fellowship wife and bookkeeper — pleasant and calm with a polished, earnest Britannian tone."
Elynor,female,middle_aged,british,serious|formal|confident,characters_animation,high,"Elynor is a stern, authoritative Fellowship leader who speaks with formal judgment and controlled disapproval throughout her dialog."
Emp,neutral,middle-aged,standard,soft|gentle|calm,characters_animation,medium,"Emps are cautious, empathic simian creatures speaking in unusual passive constructions, suggesting a gentle, neutral, softly exotic non-human voice."
Erethian,male,old,british,wise|calm|formal,characters_animation,high,"Elderly blind wizard with dry wit, scholarly formality, and archaic speech patterns suits a wise, calm British elder voice."
