# u6-translation-v1
# kind	key	source_sha256	zh
dialogue	dialogue:0x0000:runtime:0	ca79dce1799164b510771166b89c4950f622d63e85f14eb908dc539231a0a60f	女士
dialogue	dialogue:0x0000:runtime:1	d2091408891e50dfbd7c23dfa746e6d541f57bc4871c84eea658d0bb5345d594	大人
dialogue	dialogue:0x0000:runtime:2	687f2181e010409a3ed1b3fffab531e9aced7207dfd2f456ced081f42e4de084	wisp
dialogue	dialogue:0x0000:runtime:3	59c079ce9ec72c92a350981898918652bdf0d1401d544ce378ebd5b776b67619	wisps
dialogue	dialogue:0x007a:0:0	68b3035f589751c0b2ac46b7584928e1f689a52171742315e3e7b5a6c6f534f9	@沒有更多衛兵了？@
dialogue	dialogue:0x009f:0:0	873fef760e5d001ba0a843bf1846713fd92538699f323ef00d51f97a2ad2756c	星期日
dialogue	dialogue:0x009f:16:0	c0a6cc829cd08735294765c75938a7da2b0f222d52e98bff13cb237cd99deaac	星期三
dialogue	dialogue:0x009f:20:0	fc2662062ffdef9610020183ea2b087c21d71150d78a7c7463be8a9050bd3ac9	星期四
dialogue	dialogue:0x009f:29:0	e21f3f372a46d4be7b49f6809fc91baefeadae004af06485518e124a142c0271	星期五
dialogue	dialogue:0x009f:30:0	dbe35c7363c2f7ec747b902fb240907fc58ae00b98f107be2d4c7b9cd7f6226e	星期六
dialogue	dialogue:0x009f:39:0	ab6db599234d2636659cba1aa191bd014c3867d5cfade98ff694785c20c28fc6	上午
dialogue	dialogue:0x009f:3c:0	96f2f0811df88d8fc36bba1ebfe4e4841ce71b1e26c4ac0b77c860f26a37a763	下午
dialogue	dialogue:0x009f:3f:0	5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9	0
dialogue	dialogue:0x009f:43:0	e7ac0786668e0ff0f02b62bd04f45ff636fd82db63b1104601c975dc005f3a67	:
dialogue	dialogue:0x009f:45:0	0f580db40fe255332f111610372550e418e8ffbfe493c13eb990afa3f668383a	 於 
dialogue	dialogue:0x009f:7:0	6a00dfc1dc867e8454c2c8856e1512d9bf02a76710e3411c0972aec886c76c61	星期一
dialogue	dialogue:0x009f:e:0	7d8af1de1262f150187d5938bf649d6c35726970685f916d1ec6392a801b9762	星期二
dialogue	dialogue:0x011f:0:0	2bef165e603bda2114c7c713f6c9ea282e3fb4c923587f1236eff3dbcce9956c	@嘎嘎嘎嘎！@
dialogue	dialogue:0x011f:10:0	839be1890e0710a14fae662021967d943e22e932b3063388095ae642a5ec7baa	@咕嚕咕嚕！@
dialogue	dialogue:0x011f:1f:0	26165b993fc58fbc522dd3c88ad24e2ce43d407d94f3e6b3b0afa449605fda6e	@嘎嘎！@
dialogue	dialogue:0x011f:2a:0	0c060cebb94cefffa4d5bb377f78e35faec769dde6452824185c78fceec786d5	@必須擊敗 Nomalet！@
dialogue	dialogue:0x0216:0:0	2e4b9cc2428beb7bff6a56c14d7304e472a23e890e91ef0a6b0b0380e89f9734	朋友
dialogue	dialogue:0x0216:10a5:0	9d3d02b4f6dabd64747e2d19b598df2bb237076f9c5b0ca2c7864694ed2272e5	@若您有意進行進一步交流，請通知任何「wisp」單位。@
dialogue	dialogue:0x0216:10ea:0	86f432a4b8cb43f8e7454c14cdcb80ad5758c503e38c20d7bbc55e58a6b7e93c	@若您向「wisp」單位提供一個資訊密度適中的來源，將安排將一些適當有價值的商品轉移至不列顛的持有中。@*
dialogue	dialogue:0x0216:1199:0	cfcd4e63369169d67d38d1535effe78c2a9e1e177fd2dc6a3c0c7599de68f3d1	@我發現您認為告知我一個不列顛生命單位與一個 Xorinite 單位之間即將停止接近的情況如此重要，這很尋常。@*
dialogue	dialogue:0x0216:123f:0	c32f9e736df815d490b503409741453f54dd25c55bdc49c515860f199b8fb709	@然而，按照您的習慣：再見，'
dialogue	dialogue:0x0216:127a:0	859a1b63428fd7ee5663fc29faa1d0f1351b854b9ac35a4be3e2884d04892590	'@
dialogue	dialogue:0x0216:127d:0	30d045f953fec030244b18772bf9e67e24abd2ad0680f9c46b3d602eb5705549	@再見..@
dialogue	dialogue:0x0216:159:0	4499211e13d1e270bd1e021415e494ac0ff16542c0d6aacf0d646ad6005cd29b	片刻間，wisp 脈動著，什麼也沒說。*
dialogue	dialogue:0x0216:18e:0	dd208ed9354bfdbb73dec87d03109534e1db8346fd0d2a88f78d0dfcc55446f5	@完成了，@ wisp 終於說道，@Rklbwm 已表達擁有這些資訊的慾望。希望這能討得便宜，Rklbwm 提供了少量「黃金」物質作為替代，以換取慣常的有用資訊。@*
dialogue	dialogue:0x0216:1b:0	980b9809a893c5977d1595af04bd1a3871b4d1926ee25a8593da36ed374b425e	@...@
dialogue	dialogue:0x0216:21:0	8f474ce7af69239d52f447d1883a60a1eabe247e71f56dea27eab6146ccc7e47	@Xorinia 再次對您說話。@
dialogue	dialogue:0x0216:27b:0	56fb33a8570519415f0edd1bad76088eeb5bedfabf702fa56d6fae84631c21f9	@但您肯定希望我安排 Rklbwm 提供對您有價值的資訊。我假設這是正確的吧？@*
dialogue	dialogue:0x0216:2f8:0	c520b07a049bfd73a5e3802f39e6dec6f386fa38e598f9c1bf9b95ca17511192	@既然如此。以下是來自 Rklbwm 的有用資訊：@
dialogue	dialogue:0x0216:335:0	6d20844ef79e3884739ec6cbf17a3d3dc003f4e9b04b1fe81eb571c846caa19f	@「如果將一種具有部分反射表面的物質置於其第三折射率與偏振光源輸出的波長係數匹配的位置，並將 resulting 光束聚焦於懸浮在單極磁場中的離子晶體上，物質可以轉化為有用的電磁輻射，效率可達 96 至 98 百分，取決於所需的輸出頻率。」@*
dialogue	dialogue:0x0216:42:0	17a84edc194c0e62950a5696a9ffae1a65054b65eb385c77f3e3a5999fabcaaa	一顆詭異、發光能量的球體。*
dialogue	dialogue:0x0216:4e3:0	294db78dfa5f31de47fb69e660076f4a6fed58bcda779b9130fd40711fe1cc8a	@與你做生意真是愉快。@
dialogue	dialogue:0x0216:510:0	9d7eda61b5e016a23e3b704f0ee47cd0af88adaa505a8d8b1f5317e02d7628e4	@很好。「你」並未傳送足夠的生命單位來傳輸大量物質，但這是「你」要做的決定。@
dialogue	dialogue:0x0216:583:0	e94d6d2c9c9e39ce3a23e7259b806b2c9fdafd9d07deca41e396ddb63b748723	wisp 突然變得稍微明亮了一瞬，接著所有人驚訝地發現自己的背包變重了。
dialogue	dialogue:0x0216:5fa:0	e86a6d5a745af1f96576398bbc0180ebd0e22f41955b3fad57307a75fec3e5d3	招待派對 
dialogue	dialogue:0x0216:607:0	0547bf43f418737dc8a8294db49b5d431b7c3eba1f015d637cf7f500859e2006	金塊
dialogue	dialogue:0x0216:615:0	d99237434be39b183b8b5553963475004444fe4f734e02027eaa0e1d4d6c2721	@Britannia的規矩確實詭異得很。@
dialogue	dialogue:0x0216:641:0	492f0d59e509e0ccb08ad64c7b933cb1397ab65aaa0abfb4ba1a958e1d920387	@再次，此界之「你」對向Xorinia維度之「我」發問。此刻「你」希望我以何種稱呼相稱？@
dialogue	dialogue:0x0216:66:0	bf18ba75f3fdd9646c00e1c4dfd2cf5da1116b693e6ec9a49f11cd30168a11d5	@「你」所持載有代表「失傳真言之書」聲音符號之卷冊，乃高濃度資訊之重要來源。「你」是否希望「我」此刻為「你」尋一位願意以此交換的客戶？@
dialogue	dialogue:0x0216:6be:0	ea2abe246aad929712fa7fd1d5cfadf4f18ba69c58c2c25e00e71d5a54023a78	聖者
dialogue	dialogue:0x0216:6c9:0	a1702b9936d2f65ee32511d8f660b175dfec154871ddc140f2aee1b5faf38d58	我是
dialogue	dialogue:0x0216:6cf:0	ca8e826d9c2ec401e9ac82cd0aa710cf234d5cac4e6ee967b3588c63fce9681b	聖者
dialogue	dialogue:0x0216:6d6:0	71ac0b17f0bbe0fc7d80310f1e51337bfb18b76752cb85d4f398dc367d2a4475	@很好，「
dialogue	dialogue:0x0216:6e4:0	7f73e0c639786faed36ec9f68e813c144a13e078459c8ceccd1b80eb4fbd13d9	」，「你」可記得與「我」先前的對話？@
dialogue	dialogue:0x0216:723:0	2c510de810e8202c46f0363ada2a405744db7727f4caf01b57bc62d8661a400f	@很好。既然如此，此次便無需重複冗贅之言。「你」欲談論何事？@
dialogue	dialogue:0x0216:786:0	fa0ce6a045f7bbef33ace0f91ad115ce38b3d0ea9f98e2bc7781ed053bab7706	@既如此。「我」似須常向 Britannia 的生靈重覆資訊。「我」無法理解，此處每組生命單位何以能有不同的記憶與慾望，再次告知 Britannia，在「我」的領域中並非如此。@*
dialogue	dialogue:0x0216:885:0	95571152311567727448fcee37b1be4d97b276ca547fe4a5b75d8d9e0364653a	@「你」在 Britannia 所知的「wisp」，乃 Xorinia 生命的投影。「我」延伸至許多界域。Britannia 極少與「我」通訊，且為少數其他界域所知。@*
dialogue	dialogue:0x0216:8:0	cde48537ca2c28084ff560826d0e6388b7c57a51497a6cb56f397289e52ff41b	朋友
dialogue	dialogue:0x0216:969:0	9c411a4fcb4c57f51cfac1c57c38fe9ed4591dccbcf7f9f233e2475f172c0155	@每次「我」與Britannia對話，似乎都須再次解釋「我」的本性，正如方才所言。這真的很奇怪。@
dialogue	dialogue:0x0216:9ea:0	82a3537ff0dbce7eec35d69edc3a189ee6f17d82f353a553f9aa96cb0be3ce89	名字
dialogue	dialogue:0x0216:9ef:0	5e8c9902207afaeb7120430c585a445f21e92932081d64bc99f80e4925bcb002	工作
dialogue	dialogue:0x0216:9f3:0	b49f425a7e1f9cff3856329ada223f2f9d368f15a00cf48df16ca95986137fe8	再見
dialogue	dialogue:0x0216:9f7:0	bb0347a468d97e98a9c00e37cebec1ab930f6f1221cae0f1fbb92b07e1900ba2	你
dialogue	dialogue:0x0216:9fb:0	fbf492319dda5bda975c5503d01d0f84dfe53015f83d41e110e7cc99eb11ff70	@「名字」這一概念，「我」仍未能領會。「我」認為當「你」要求「我」使用「
dialogue	dialogue:0x0216:a5f:0	1a75275ccf5639545f4cfb231f7072ac3aa8fb0b9f5d7b0a6252733fe74c9d4d	」作為稱呼時，似乎與「名字」有關。*
dialogue	dialogue:0x0216:a9d:0	a231a480840c0c5c085dccfffb5c6901f13181a9b9e036b40308ecd6d8b4a81f	@當 Britannia 以「Zog」之名向我發問時，曾試圖作出解釋。但「我」仍不明白。@*
dialogue	dialogue:0x0216:b12:0	69e9d602c4d5d80e2c4e4b2f76c2517ac19398e9d82e059b9350576100bd717b	Zog
dialogue	dialogue:0x0216:b16:0	45ba22ba2203cea71114fec8a18fdc34683f1944c65ee120fcd4a7f410938e0f	@Xorinia作為不同界域間資訊傳輸之媒介。作為交換，這些界域提供可用於改善Xorinia的資訊。*
dialogue	dialogue:0x0216:bb2:0	4d6a2547f3d10168c51ce12858e156dd6d857193ef0ffe669c56554e15bb5625	@偶爾會接受物質作為報酬，但這並非首選。@
dialogue	dialogue:0x0216:c0a:0	dea7111a8406e27cfc8bf5f49c5d40898402b0b584b3285f069170a36f9eec31	資訊
dialogue	dialogue:0x0216:c16:0	943ae60b331ded4aee350b572b7dcfc0bfcf1caa07622e5b6ca94318de73c822	物質
dialogue	dialogue:0x0216:c20:0	219a17663b0b7359808e28f92ca07f6f079d39df4db3882f0dec972eb625d88a	@有一次「我」向 Britannia 提供樣本資訊時，接收它的那個生命單位賦予了它「Zog」這個名字。在此之後，有一段時間無法再與 Britannia 取得聯繫。@*
dialogue	dialogue:0x0216:ce1:0	2b3ca355a6a39ef7c35065b2dd1822d274406149465815e573bef1eceda7af70	@也許是誤用了範例資訊所導致。@*
dialogue	dialogue:0x0216:d1e:0	bf368728443f37ed7f6355aed1fc6402ab3b508a0aeb7e2a317d8ad9fdb138b9	@「我」和「你」似乎是毫無意義的詞。「我」只是出於禮貌，模仿「你」用這種語言使用它們的方式。@*
dialogue	dialogue:0x0216:d9a:0	5b6ed7547a3335a856e3d9ec42ce8802adf5751ddc8ebcd0209a76bed86c552d	@Britannia從未參與跨維度的資訊交換。「我」提供了一個在Britannia術語中被稱為「祕密」的範例，但並未引發進一步的興趣。@*
dialogue	dialogue:0x0216:e57:0	828408e40d4fe651488b14696b60b613c9683ab9862e03f4e72aec7c1fda7635	興趣
dialogue	dialogue:0x0216:e60:0	2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b	祕密
dialogue	dialogue:0x0216:e67:0	191d437cfae30165a5a355e08bddb0fd78af89b7ef4738ee97abd426ae848682	@在多元宇宙中，實際的物理材料如此充裕，以至於價值甚微。資訊則具有更大的價值。@*
dialogue	dialogue:0x0216:ef2:0	a774658f04c1c011589269cb7232a80a0000444b384ad55fa6e4f7d1fcf1176e	@由於不列顛尼亞記憶的特性，「我」現在再次向「你」提供範例資訊。@*
dialogue	dialogue:0x0216:f58:0	7943754a7ebdc5ee453e7d0aec471ad5aaf78f3d6c720e65d1ba1a2bb0978fbc	wisp 脈動著，從藍色褪成白色，然後又變回藍色。在此同時，一卷羊皮紙在你手中顯形。@*
dialogue	dialogue:0x0216:f:0	df95f0116bbbcdf2bab23505021e8d2048056e5c0d79f9dcd1541e87f049da6a	@...你好嗎？@
dialogue	dialogue:0x0216:fd4:0	1fe03da22757189e7bb81d41ca3228b3be8b951914b3a019ac51c6e93cf00f31	@這是一種簡單的魔法能量召喚，旨在終結所有生命。這不是一種非常有用或強大的魔法形式，因為它只會影響在召喚它時處於同一維度的生物。@*
dialogue	dialogue:0x0252:0:0	e76e097a7ef131d5a166462af2eb967edde81e7b7312f2e02785b48f6bdfa210	@你不能用匕首對那東西進行操作..@
dialogue	dialogue:0x0257:0:0	b4520c921f0376cd89569e29c4eb6cfc5c815bec524ac44da75f944713d22be1	@握在手中剪斷蜘蛛網。@
dialogue	dialogue:0x0267:0:0	e76e097a7ef131d5a166462af2eb967edde81e7b7312f2e02785b48f6bdfa210	@你不能用匕首對那東西進行操作..@
dialogue	dialogue:0x0271:0:0	cb8be8c147c1ffbd5343228c9bf7fda02d978de216dced37d8fb3db643eda86e	@我們應該做這件事嗎？@
dialogue	dialogue:0x0271:1b:0	52306916bb5dd7fb0de44a4d10f0afc60a7fca78810354d250b1dc07d54e4d98	@你必須準備好鏟子才能使用它。@
dialogue	dialogue:0x027d:0:0	6b71d81af8ede43cc0feb7c9da9d3b36f9a9127a50fdb21c50386e7a0da4c860	應該呼叫混沌劍物件
dialogue	dialogue:0x0282:0:1	f0f56b37f899e9dd5b595b92c6e6e7977b91114db28a5a298bffd264aef54a92	船長日誌 - Empire
dialogue	dialogue:0x0282:101a:0	123365e5fa17104dbc22cd53f9a9e83f4804861a167bd319d82702dfe9efbe7d	欣賞了幾個小時的自然美景後，我來到了一片奇怪的圓形空地，那裡顯得平靜而安寧。那天天氣很好，我有些筋疲力盡，便決定小憩片刻。我躺在空地上，沐浴在午後的陽光中。沒過多久，我就感到眼皮沉重，再也睜不開了。在我陷入無夢的深眠之前，我短暫地意識到這片空地是由一圈形狀怪異的石頭和蘑菇組成的圓環。但隨後我的思緒已經混亂得無法理清了...
dialogue	dialogue:0x0282:1235:0	602377ccaaecb7f9870a9a8eff0c535ddfe0af409db8a885fa00bcdbd6c4f025	幾個小時後我醒來，天已經黑了。我抬頭望向天空，滿月當空。我開始感到不安，因為我不得不想起那些迷信的當地人，他們曾多次告訴我，這些所謂的靈異森林裡發生過很多怪事。然後我記起自己正站在一圈石頭和蘑菇組成的圓環中，這些圓環背後不就有著傳說嗎？我決定該立刻離開這片森林了。但當我剛走近圓環邊緣時，石頭便發出一道奇怪的綠光，我還能聽到陣陣微弱的吟唱聲。我不得不打自己一巴掌，看看自己是否還在睡夢中，但那疼痛是真實的，而綠光也變得更加明亮了。
dialogue	dialogue:0x0282:141:0	9b0f5bde4ec84e376222caf81932e0c1d163fb0b69ac01191b64c456be78bd85	第 10 天
dialogue	dialogue:0x0282:141:1	c5e173af283cf40b99387d38ead436500a8f3a8591672e76372373123d0e284d	\t   船員們的情緒仍然高昂。我以前的船友們大概甚至還不知道，我已經帶著「Empire」悄悄溜走了，他們還在為Hawkins的死亡而狂歡慶典。我比那些混蛋們更精明。Hawkins的血還沒在「Empire」的木板上乾透，我就已經策劃好了下一步行動。*
dialogue	dialogue:0x0282:150b:0	19c5041ebfe35af5d93b9e5379535c4089f9510589de89e15cf843bae1ab05b9	突然，光中有幾個深色的小斑點向我靠近。我看出那是一些看起來像仙子般的生物。仙子？！！你知道，就是那些非常矮小、赤裸且有翅膀的生物，常在古老的故事、歌謠和傳說中被提及。我一直以為那只是傳說。顯然他們是真的——或者我只是個瘋子。他們優雅地在我周圍飛翔，我聽見他們用那輕柔細弱的聲音討論著關於我的事情。我感到震驚，只是站在那裡注視著這些美麗的生物。
dialogue	dialogue:0x0282:172f:0	789d636ea4428efbc3c179cb186668694a9cf0da6ae97dab46a91cefbe540ef7	隨後他們消失了，只留下一個。她顯然是一個雌性個體，而且非常美麗。她看起來比其他的稍微大一點，身上自帶一種氣場，要求獨佔眾人的關注。她懸浮在與我視線平行的位置，開始說起來：
dialogue	dialogue:0x0282:182b:0	8a1a9503557a8f601c13a0ad5493e4d36ef5d7f31b630e6aa67ebd8a82fff9a8	人類的傻瓜！你竟敢闖入我們寧靜的森林？你不滿足於摧毀外界的世界嗎？你必須將你人類的破壞性甚至帶到這裡嗎？你也打算佔據這個地方嗎？
dialogue	dialogue:0x0282:18fa:0	c32f33bd37f30e76aca55b007e0b6017601b4cfa1e5f05e0b8b92f2fab486615	我...我並沒有想打擾你們，對於我們的人對我們的家園所做的一切，我深感抱歉。我試圖逃離那裡，尋找一點平靜，才來到這裡。我謙遜地為我的闖入致歉。我並沒有惡意。我回答道。
dialogue	dialogue:0x0282:19d9:0	0f8f9f46b7e04dfd8eb8732803f9e3ac91122412805a7d11490f05259a42cdf0	凡人，我很瞭解你，這只是一點小測試。看看你在這些年代裡是否有改變。
dialogue	dialogue:0x0282:1a45:0	1b7450ca5ce4b3ab9a7e7d18fea617a3a3e3f8e1bb565746853086752d7443c1	等一下！我聽明白了嗎？你認識我？年代？我可以問問你在說些什麼嗎？
dialogue	dialogue:0x0282:1aaf:0	0b68c3b9dae6af17a10aaa0df643d09ec1e489a1f76f3783b5874a261c92a707	聽好了！要知道我是仙子的女王，所以很久以前我就知道，你終究會被引導再次來到這個地方。在古老的時候曾決定，如果你能回答一個簡單的問題，就許給你一個願望。
dialogue	dialogue:0x0282:1b9a:0	44ef917693761035d0c19c09692f175092e76607701edff6b41aebf12670a5cc	再次？我問道。我這輩子從未在這裡。憑什麼我值得擁有一個願望？我並不特別，我只是一個...
dialogue	dialogue:0x0282:1c12:0	94a96e64d8f2cdb2ee5f723f39b29f14f9b8f47e3a26a462a625310295ca0b92	魔法？我對魔法一無所知，我也絕對不相信轉世……但我也不相信仙子。現在我卻站在綠光中，與仙子女王爭論。更有可能的是我在 tavern 裡喝了太多酒，這只是一場夢。
dialogue	dialogue:0x0282:1cb6:0	ad4decd213c19d37f0bfb9bff69a7770aed04e34d700eb30d28de93593e64467	你遠比那重要。你一直都是...我們民族的朋友。在每一世中，你都用你的魔法幫助我們，現在我們要給你心中所渴望的東西。
dialogue	dialogue:0x0282:1dda:0	9465a65fbd924104a246cfe72da7eabebfe14430b54df7ac12e79f59d7f0d421	「這不是夢，讓我向你保證，在你的前世，你曾是一位相當厲害的魔法師。但現在別再說這些傻話了。我認識你，放寬心吧。我絕不會把你的明亮灼熱光芒誤認為是別人。聽好！現在我要問你一個將改變你一生的問題。說出古代魔師所熟知的五種元素。@”
dialogue	dialogue:0x0282:1f28:0	5cce12ca7b5e50a8eb2ae9d5dc62f170e7273fb51a5cd2f380c45c2a5dc80821	我回答：「@這很容易。是火、水、土、風，還有...@」第五種元素？我從前從來沒聽說過另一種元素。什麼...她在講什麼？我？一個魔法師！哈！這裡才是瘋子的地方嗎？是哪種元素...@我想。
dialogue	dialogue:0x0282:201c:0	09f8bb60f7feed1a43be8499394f6abbac63a2fc4f3a42c28a972558bffc3317	當我努力思考魔法和第五種元素時，我內心深處有什麼東西在悸動。古老的知識湧入我的意識，但在我能真正掌握之前便消失了。不過，我隨後清晰地看清了她話中的真相，最重要的是，我知道了她小測驗的答案。
dialogue	dialogue:0x0282:2140:0	e167a478150c4df2ac4d0f2b796b50eabd302cf3479cded876f3000d1c36d395	「@是以太！@」我喊道。
dialogue	dialogue:0x0282:215f:0	e2c6aac7a53b6f62e37319f6cada072fe5fe9c20483c18a754e018a6fa7f089d	「@恭喜@」精靈說。「@我曾懷疑你能記起這些古老的教誡，但你做到了。現在，想想你最深切的渴望。說出它，你的願望就會實現。@”
dialogue	dialogue:0x0282:221b:0	7651b7222f0b6389ce487f3a39fbc2497cdbe42e72bdc2780b947f71c68ca057	「你知道，我做著一個糾纏我的夢。起初它無害，但現在變得非常煩擾，每個我告訴這個夢的人覺得我瘋了。我會告訴你整個故事。幾年前，在一場夢裡，我來到一堵巨大的牆前。它的高度你甚至無法想象。我好奇這堵牆後面有什麼，花了許多個夜晚尋找通往另一側的路。@”
dialogue	dialogue:0x0282:22:0	1f4001f0e65e768333951cd9acf6d2f884f6be02436f990e915a7aa629145af1	由 Ventara 所著
